"OBJECTID","LAYER_NAME","FEATURE_VALUE"
1878,HOUSINGDISTRICT,"8"
1879,HOUSINGDISTRICT,"4"
1880,HOUSINGDISTRICT,"3"
1881,HOUSINGDISTRICT,"1"
1882,HOUSINGDISTRICT,"2"
1883,HOUSINGDISTRICT,"4"
1884,HOUSINGDISTRICT,"7"
1885,HOUSINGDISTRICT,"9"
1886,HOUSINGDISTRICT,"8"
1887,HOUSINGDISTRICT,"6"
1888,HOUSINGDISTRICT,"7"
1889,HOUSINGDISTRICT,"7"
1890,HOUSINGDISTRICT,"7"
1891,HOUSINGDISTRICT,"4"
1892,HOUSINGDISTRICT,"2"
1893,HOUSINGDISTRICT,"8"
1894,HOUSINGDISTRICT,"2"
1895,HOUSINGDISTRICT,"1"
1896,HOUSINGDISTRICT,"4"
1897,HOUSINGDISTRICT,"1"
1898,HOUSINGDISTRICT,"5"
1899,HOUSINGDISTRICT,"6"
1900,HOUSINGDISTRICT,"1"
1901,HOUSINGDISTRICT,"8"
1902,HOUSINGDISTRICT,"1"
1903,HOUSINGDISTRICT,"9"
1904,HOUSINGDISTRICT,"6"
1905,HOUSINGDISTRICT,"6"
1906,HOUSINGDISTRICT,"6"
1907,HOUSINGDISTRICT,"7"
1908,HOUSINGDISTRICT,"7"
1909,HOUSINGDISTRICT,"4"
1910,HOUSINGDISTRICT,"7"
1911,HOUSINGDISTRICT,"7"
1912,HOUSINGDISTRICT,"7"
1913,HOUSINGDISTRICT,"7"
1914,HOUSINGDISTRICT,"5"
1915,HOUSINGDISTRICT,"3"
1916,HOUSINGDISTRICT,"2"
1917,HOUSINGDISTRICT,"2"
1918,HOUSINGDISTRICT,"2"
1919,HOUSINGDISTRICT,"2"
1920,HOUSINGDISTRICT,"7"
1921,HOUSINGDISTRICT,"3"
1922,HOUSINGDISTRICT,"3"
1923,HOUSINGDISTRICT,"3"
1924,HOUSINGDISTRICT,"9"
1925,HOUSINGDISTRICT,"5"
1926,HOUSINGDISTRICT,"7"
1927,HOUSINGDISTRICT,"5"
1928,HOUSINGDISTRICT,"5"
